Company,Region,Vertical,Funding Amount (USD),Funding Stage,Funding Date
Coralogix,United States,Cyber Security,55000000,Series C,Jul-21
Safe Security,United States,Cyber Security,33000000,Series B,Jul-21
Arctic Wolf,United States,Cyber Security,150000000,Series F,Jul-21
Mark43,United States,Cyber Security,101000000,Series E,Jul-21
The @ Company,United States,Cyber Security,8000000,Seed,Jul-21
Lolli,United States,E-Commerce Software,10000000,Series A,Jul-21
Repeat,United States,E-Commerce Software,6000000,Series A,Jul-21
Sendlane,United States,E-Commerce Software,20000000,Series A,Jul-21
Amperity,United States,E-Commerce Software,100000000,Series D,Jul-21
Fabric,United States,E-Commerce Software,100000000,Series B,Jul-21
Replicated,United States,E-Commerce Software,50000000,Series C,Jul-21
Glossier,United States,E-Commerce Store,80000000,Series E,Jul-21
Ephemeral Tattoos,United States,E-Commerce Store,20000000,Series A,Jul-21
ArtSugar,United States,E-Commerce Store,500000,Seed,Jul-21
Articulate,United States,Education,1500000000,Series A,Jul-21
SoloLearn,United States,Education,24000000,Series B,Jul-21
Microverse,United States,Education,12500000,Series A,Jul-21
OpenSesame,United States,Education,50000000,Series D,Jul-21
Class Technologies,United States,Education,105000000,Series B,Jul-21
Redwood Materials,United States,Energy,700000000,Series C,Jul-21
Camus Energy,United States,Energy,16000000,Series A,Jul-21
Eco,United States,Finance,60000000,Series B,Jul-21
M1 Finance,United States,Finance,150000000,Series E,Jul-21
Mercury,United States,Finance,120000000,Series B,Jul-21
Paro,United States,Finance,25000000,Series B,Jul-21
Sila,United States,Finance,13000000,Series A,Jul-21
Prime Trust,United States,Finance,64000000,Series A,Jul-21
FloQast,United States,Finance,110000000,Series D,Jul-21
iCapital Network,United States,Finance,440000000,Series C,Jul-21
Lithic,United States,Finance,60000000,Series C,Jul-21
Urban Remedy,United States,Food and Beverage,18000000,Series D,Jul-21
Little Spoon,United States,Food and Beverage,44000000,Series B,Jul-21
Meati Foods,United States,Food and Beverage,50000000,Series B,Jul-21
Natureâs Fynd,United States,Food and Beverage,350000000,Series C,Jul-21
Picnic,United States,Food and Beverage,4200000,Series A,Jul-21
MomentRanks,United States,Gaming,1700000,Seed,Jul-21
Community Gaming,United States,Gaming,2300000,Seed,Jul-21
LeagueApps,United States,Gaming,15000000,Series B,Jul-21
Genvid Holdings,United States,Gaming,113000000,Series C,Jul-21
Thrive Global,United States,Human Resources,80000000,Series C,Jul-21
Teamflow,United States,Human Resources,35000000,Series B,Jul-21
Skedulo,United States,Human Resources,75000000,Series C,Jul-21
Songfinch,United States,Human Resources,2000000,Seed,Jul-21
Catch,United States,Insurance,12000000,Series A,Jul-21
Ethos,United States,Insurance,100000000,Series D,Jul-21
INSHUR,United States,Insurance,23400000,Series B,Jul-21
agentero,United States,Insurance,13500000,Series A,Jul-21
Chaka Technologies,United States,Investing,1500000,Pre-Seed,Jul-21
Titan,United States,Investing,58000000,Series B,Jul-21
Tornado,United States,Investing,10000000,Seed,Jul-21
Teikametrics,United States,Investing,40000000,Series B,Jul-21
Hedgehog Markets,United States,Marketplace,3500000,Seed,Jul-21
Lumanu,United States,Marketplace,12000000,Series A,Jul-21
Mighty Buildings,United States,Marketplace,22000000,Series B,Jul-21
Breakr,United States,Marketplace,4200000,Seed,Jul-21
talkshoplive,United States,Media,6000000,Seed,Jul-21
Popshop Live,United States,Media,20000000,Series A,Jul-21
Embark,United States,Pets,75000000,Series B,Jul-21
PsiQuantum,United States,Quantum Computing,450000000,Series D,Jul-21
Atom Computing,United States,Quantum Computing,15000000,Series A,Jul-21
Morty,United States,Real Estate,25000000,Series B,Jul-21
Abodu,United States,Real Estate,20000000,Series A,Jul-21
RentSpree,United States,Real Estate,8000000,Series A,Jul-21
Cape Analytics,United States,Real Estate,44000000,Series C,Jul-21
SmartRecruiters,United States,Recruiting,110000000,Series E,Jul-21
Censia,United States,Recruiting,21000000,Series A,Jul-21
Instawork,United States,Recruiting,60000000,Series C,Jul-21
inVia Robotics,United States,Robotics,30000000,Series C,Jul-21
HaptX,United States,Robotics,12000000,Series A,Jul-21
Path Robotics,United States,Robotics,100000000,Series C,Jul-21
Veo,United States,Transportation,16000000,Series A,Jul-21
Simpplr,United States,Transportation,32000000,Series C,Jul-21
Blocknative,United States,Travel,12000000,Series A,Jul-21
Miles,United States,Travel,12500000,Series A,Jul-21
ICON,United States,3D,207000000,Series B,Aug-21
Sound Agriculture,United States,Agriculture,45000000,Series C,Aug-21
Regrow Ag,United States,Agriculture,23500000,Series A,Aug-21
80 Acres Farms,United States,Agriculture,160000000,Series B,Aug-21
Biome Makers,United States,Agriculture,15000000,Series B,Aug-21
Databricks,United States,Artificial Intelligence,1600000000,Series H,Aug-21
Dataiku,United States,Artificial Intelligence,400000000,Series E,Aug-21
Talkdesk,United States,Artificial Intelligence,230000000,Series D,Aug-21
Snorkel AI,United States,Artificial Intelligence,85000000,Series C,Aug-21
Latent AI,United States,Artificial Intelligence,19000000,Series A,Aug-21
Workera,United States,Artificial Intelligence,16000000,Series A,Aug-21
People.ai,United States,Artificial Intelligence,100000000,Series D,Aug-21
Moises,United States,Artificial Intelligence,1600000,Seed,Aug-21
Shelf,United States,Artificial Intelligence,52500000,Series B,Aug-21
EarBuds,United States,Audio,3000000,Series A,Aug-21
Picsart,United States,Augmented Reality,130000000,Series C,Aug-21
Superhuman,United States,B2B Software,75000000,Series C,Aug-21
Hashnode,United States,B2B Software,6700000,Series A,Aug-21
Gusto,United States,B2B Software,175000000,Series E,Aug-21
Metabase,United States,B2B Software,30000000,Series B,Aug-21
Ramp,United States,B2B Software,300000000,Series C,Aug-21
Seismic,United States,B2B Software,170000000,Series G,Aug-21
Bldup,United States,B2B Software,2000000,Pre-Seed,Aug-21
Hive,United States,B2B Software,10000000,Series B,Aug-21
MoEngage,United States,B2B Software,32500000,Funding,Aug-21
Entando,United States,B2B Software,11000000,Series B,Aug-21
Felt,United States,B2B Software,4500000,Seed,Aug-21
yellow.ai,United States,B2B Software,78150000,Series C,Aug-21
Refill,United States,B2B Software,1000000,Angel,Aug-21
Walnut,United States,B2B Software,15000000,Series A,Aug-21
Messari,United States,Blockchain,21000000,Series A,Aug-21
MakersPlace,United States,Blockchain,30000000,Series A,Aug-21
NearPad,United States,Blockchain,2500000,Seed,Aug-21
Offchain Labs,United States,Blockchain,100000000,Series B,Aug-21
Parallel Finance,United States,Blockchain,22000000,Series A,Aug-21
Syndicate,United States,Blockchain,20000000,Series A,Aug-21
Mudrex,United States,Blockchain,2500000,Seed,Aug-21
Royal,United States,Blockchain,16000000,Seed,Aug-21
TaxBit,United States,Blockchain,130000000,Series B,Aug-21
UniWhales,United States,Blockchain,2200000,Seed,Aug-21
Liquality,United States,Blockchain,7000000,Seed,Aug-21
ZenLedger,United States,Blockchain,6000000,Series A,Aug-21
Horizen Labs,United States,Blockchain,7000000,Seed,Aug-21
Onramp Invest,United States,Blockchain,6000000,Seed,Aug-21
Ondo Finance,United States,Blockchain,4000000,Seed,Aug-21
FalconX,United States,Blockchain,210000000,Series C,Aug-21
Exactly,United States,Blockchain,3000000,Seed,Aug-21
Bitwave,United States,Blockchain,7250000,Seed,Aug-21
Grafana Labs,United States,Cloud Computing,220000000,Series C,Aug-21
Postman,United States,Cloud Computing,225000000,Series D,Aug-21
WeSpire,United States,Cloud Computing,13000000,Series B,Aug-21
Figment,United States,Cloud Computing,50000000,Series B,Aug-21
Alpaca,United States,Cloud Computing,50000000,Series B,Aug-21
Fig,United States,Cloud Computing,2200000,Seed,Aug-21
FullStory,United States,Cloud Computing,103000000,Series D,Aug-21
LaunchDarkly,United States,Cloud Computing,200000000,Series D,Aug-21
OwnBackup,United States,Cloud Computing,240000000,Series E,Aug-21
Nirmata,United States,Cloud Computing,4000000,Seed,Aug-21
Knoetic,United States,Cloud Computing,18000000,Series A,Aug-21
Kinvolved,United States,Cloud Computing,250000,Seed,Aug-21
Split Software,United States,Cloud Computing,50000000,Series D,Aug-21
Prifina,United States,Cloud Computing,1000000,Pre-Seed,Aug-21
andros,United States,Cloud Computing,12500000,Series B,Aug-21
Pensando,United States,Cloud Computing,35000000,Series C,Aug-21
HAAS Alert,United States,Cloud Computing,5000000,Seed,Aug-21
FireHydrant,United States,Cloud Computing,23000000,Series B,Aug-21
Tulip Interfaces,United States,Cloud Computing,100000000,Series C,Aug-21
Origin,United States,Cloud Computing,56000000,Series B,Aug-21
Snap! Raise,United States,Community,90000000,Series B,Aug-21
Revel,United States,Community,3500000,Seed,Aug-21
CertiK,United States,Cyber Security,24000000,Series B,Aug-21
ReversingLabs,United States,Cyber Security,56000000,Series B,Aug-21
Nozomi Networks,United States,Cyber Security,100000000,Series D,Aug-21
Bluecore,United States,E-Commerce Software,125000000,Series E,Aug-21
Eight Sleep,United States,E-Commerce Store,86000000,Series C,Aug-21
quip,United States,E-Commerce Store,100000000,Series B,Aug-21
EBY,United States,E-Commerce Store,6000000,Series A,Aug-21
Product School,United States,Education,25000000,Growth,Aug-21
MindTickle,United States,Education,100000000,Series E,Aug-21
NoRedInk,United States,Education,50000000,Series B,Aug-21
Codelicious,United States,Education,3800000,Seed,Aug-21
Form Energy,United States,Energy,240000000,Series D,Aug-21
Bright Power,United States,Energy,24500000,Series B,Aug-21
LevelTen Energy,United States,Energy,35000000,Series C,Aug-21
Urbint,United States,Energy,60000000,Series C,Aug-21
TrustToken,United States,Finance,12500000,Seed,Aug-21
Pngme,United States,Finance,15000000,Series A,Aug-21
MobileCoin,United States,Finance,66000000,Series B,Aug-21
Branch,United States,Finance,48000000,Series B,Aug-21
Rapyd,United States,Finance,300000000,Series E,Aug-21
One,United States,Finance,40000000,Series B,Aug-21
Upgrade,United States,Finance,105000000,Series E,Aug-21
Sightline Payments,United States,Finance,244000000,Private Equity,Aug-21
InfStones,United States,Hardware,10000000,Series A,Aug-21
Bravely,United States,Human Resources,15000000,Series A,Aug-21
Human Interest,United States,Human Resources,200000000,Series D,Aug-21
Carta,United States,Investing,500000000,Series G,Aug-21
DriveWealth,United States,Investing,450000000,Series D,Aug-21
Aumni,United States,Investing,50000000,Series B,Aug-21
CapShift,United States,Investing,5000000,Series A,Aug-21
MINDSET,United States,Marketplace,8700000,Seed,Aug-21
Cent,United States,Marketplace,3000000,Seed,Aug-21
Vice Media,United States,Media,85000000,Private Equity,Aug-21
Betsperts,United States,Media,6000000,Series A,Aug-21
CreatorStack,United States,Media,2000000,Seed,Aug-21
Plant Prefab,United States,Real Estate,30000000,Series B,Aug-21
Brilliant,United States,Real Estate,40000000,Series B,Aug-21
Divvy,United States,Real Estate,200000000,Series D,Aug-21
Localize,United States,Real Estate,25000000,Series C,Aug-21
Bungalow,United States,Real Estate,75000000,Series C,Aug-21
Forage,United States,Recruiting,25000000,Series B,Aug-21
Talview,United States,Recruiting,15000000,Series B,Aug-21
Harri,United States,Recruiting,30000000,Private Equity,Aug-21
Cribl,United States,Recruiting,200000000,Series C,Aug-21
inVia Robotics,United States,Robotics,30000000,Series C,Aug-21
Reddit,United States,Social Network,410000000,Series F,Aug-21
Clay,United States,Social Network,8000000,Seed,Aug-21
Hologram,United States,Telecommunications,65000000,Series B,Aug-21
Teleport,United States,Telecommunications,30000000,Series B,Aug-21
Apollo,United States,Transportation,130000000,Series D,Aug-21
HopSkipDrive,United States,Transportation,25000000,Series C,Aug-21
Gatik,United States,Transportation,85000000,Series B,Aug-21
Wheel the World,United States,Travel,2000000,Seed,Aug-21
TurnoverBnB,United States,Travel,4500000,Series A,Aug-21
Maven Clinic,United States,Wellness,110000000,Series D,Aug-21
Wynd Technologies,United States,Wellness,10000000,Series A,Aug-21
FLYR Labs,United States,Aerospace,150000000,Series C,Sep-21
Near Space Labs,United States,Aerospace,13000000,Series A,Sep-21
GrubMarket,United States,Agriculture,120000000,Series E,Sep-21
Iron Ox,United States,Agriculture,53000000,Series C,Sep-21
Ceres Imaging,United States,Agriculture,23000000,Series C,Sep-21
Burro,United States,Agriculture,10900000,Series A,Sep-21
IntelinAir,United States,Agriculture,20000000,Series B,Sep-21
Steward,United States,Agriculture,8800000,Series A,Sep-21
Kodezi,United States,Artificial Intelligence,1000000,Pre-Seed,Sep-21
Nextiva,United States,Artificial Intelligence,200000000,Private Equity,Sep-21
Kore.ai,United States,Artificial Intelligence,50000000,Series C,Sep-21
AlphaSense,United States,Artificial Intelligence,180000000,Series C,Sep-21
GoodCall.com,United States,Artificial Intelligence,4000000,Seed,Sep-21
GenesisAI,United States,Artificial Intelligence,2500000,Series A,Sep-21
BLACKBIRD.AI,United States,Artificial Intelligence,10000000,Series A,Sep-21
Humanly.io,United States,Artificial Intelligence,4200000,Seed,Sep-21
Imandra,United States,Artificial Intelligence,5000000,Seed,Sep-21
Callin,United States,Audio,12000000,Series A,Sep-21
RedCircle,United States,Audio,6000000,Series A,Sep-21
Anima App,United States,B2B Software,10000000,Series A,Sep-21
SpotOn,United States,B2B Software,300000000,Series E,Sep-21
ForMotiv,United States,B2B Software,6000000,Seed,Sep-21
The Org,United States,B2B Software,20000000,Series B,Sep-21
Pass It Down,United States,B2B Software,2000000,Seed,Sep-21
Fin.com,United States,B2B Software,20000000,Series A,Sep-21
Innovare,United States,B2B Software,3000000,Seed,Sep-21
PropelPLM,United States,B2B Software,20000000,Series C,Sep-21
Vowel,United States,B2B Software,13500000,Series A,Sep-21
SundaeSwap Labs,United States,Blockchain,1300000,Seed,Sep-21
Abra,United States,Blockchain,55000000,Series C,Sep-21
Ripio,United States,Blockchain,50000000,Series B,Sep-21
Cybertino Lab,United States,Blockchain,10000000,Seed,Sep-21
Roll,United States,Blockchain,10000000,Series A,Sep-21
Fuel Labs,United States,Blockchain,1500000,Seed,Sep-21
Recur,United States,Blockchain,50000000,Series A,Sep-21
SIMBA Chain,United States,Blockchain,25000000,Series A,Sep-21
Taker Protocol,United States,Blockchain,3000000,Seed,Sep-21
Amberdata,United States,Blockchain,15000000,Series A,Sep-21
Stardust,United States,Blockchain,5000000,Series A,Sep-21
Zero Hash,United States,Blockchain,35000000,Series C,Sep-21
Rocket Dollar,United States,Blockchain,8000000,Series A,Sep-21
fxdx exchange,United States,Blockchain,570000,Seed,Sep-21
Bubblehouse,United States,Blockchain,4000000,Pre-Seed,Sep-21
JumpCloud,United States,Cloud Computing,159000000,Series F,Sep-21
SingleStore,United States,Cloud Computing,80000000,Series F,Sep-21
Code Climate,United States,Cloud Computing,50000000,Series C,Sep-21
Civis Analytics,United States,Cloud Computing,30700000,Series B,Sep-21
RemNote,United States,Cloud Computing,3000000,Seed,Sep-21
Almanac,United States,Cloud Computing,34000000,Series A,Sep-21
Botify,United States,Cloud Computing,55000000,Series C,Sep-21
Amagi Media Labs,United States,Cloud Computing,100000000,Private Equity,Sep-21
Fivetran,United States,Cloud Computing,565000000,Series D,Sep-21
ClickHouse,United States,Cloud Computing,50000000,Series A,Sep-21
Copado,United States,Cloud Computing,140000000,Series C,Sep-21
Materialize,United States,Cloud Computing,60000000,Series C,Sep-21
Sisu,United States,Cloud Computing,62000000,Series C,Sep-21
Aviatrix,United States,Cloud Computing,200000000,Series E,Sep-21
StreamNative,United States,Cloud Computing,23700000,Series A,Sep-21
CreatorIQ,United States,Cloud Computing,40000000,Series D,Sep-21
Saviynt,United States,Cloud Computing,130000000,Private Equity,Sep-21
3Gtms,United States,Cloud Computing,15000000,Private Equity,Sep-21
Loft Labs,United States,Cloud Computing,4600000,Seed,Sep-21
Vodori,United States,Cloud Computing,7500000,Series A,Sep-21
Postal.io,United States,Cloud Computing,22000000,Series B,Sep-21
CodeSee,United States,Cloud Computing,3000000,Seed,Sep-21
Omaze,United States,Consumer,85000000,Series C,Sep-21
Totango,United States,Consumer,100000000,Series D,Sep-21
Snyk,United States,Cyber Security,530000000,Series F,Sep-21
Corelight,United States,Cyber Security,75000000,Series D,Sep-21
Kolide,United States,Cyber Security,17000000,Series B,Sep-21
Panorays,United States,Cyber Security,42000000,Series B,Sep-21
DroneSeed,United States,Drones,36000000,Series A,Sep-21
NTWRK,United States,E-Commerce Software,50000000,Series B,Sep-21
Immerss,United States,E-Commerce Software,1100000,Seed,Sep-21
Grailed,United States,E-Commerce Store,60000000,Series B,Sep-21
Cotopaxi,United States,E-Commerce Store,45000000,Series C,Sep-21
Printify,United States,E-Commerce Store,45000000,Series A,Sep-21
Joy,United States,E-Commerce Store,20000000,Series A,Sep-21
Panorama Education,United States,Education,60000000,Series C,Sep-21
Fiveable,United States,Education,10000000,Series A,Sep-21
MaestroQA,United States,Education,25000000,Series A,Sep-21
6AM City,United States,Education,5000000,Series A,Sep-21
Arcadia,United States,Energy,100000000,Series D,Sep-21
EcoFlow,United States,Energy,9595000,Crowdfunding,Sep-21
Lilac Solutions,United States,Energy,150000000,Series B,Sep-21
SunShare,United States,Energy,30000000,Private Equity,Sep-21
Varo Money,United States,Finance,510000000,Series E,Sep-21
dash.fi,United States,Finance,3200000,Seed,Sep-21
Zebedee,United States,Finance,11500000,Series A,Sep-21
Melio,United States,Finance,250000000,Series D,Sep-21
Sendoso,United States,Finance,100000000,Series C,Sep-21
Point Card,United States,Finance,46500000,Series B,Sep-21
Alloy,United States,Finance,100000000,Series C,Sep-21
Jeeves,United States,Finance,57000000,Series B,Sep-21
Revenue Grid,United States,Finance,20000000,Series A,Sep-21
Built Technologies,United States,Finance,125000000,Series D,Sep-21
TomoCredit,United States,Finance,10000000,Series A,Sep-21
HUNGRY,United States,Food and Beverage,21000000,Series C,Sep-21
Ripple Foods,United States,Food and Beverage,60000000,Series E,Sep-21
Perfect Day,United States,Food and Beverage,350000000,Series D,Sep-21
Misfits Market,United States,Food and Beverage,225000000,Series C,Sep-21
CookUnity,United States,Food and Beverage,47000000,Series B,Sep-21
New Age Meats,United States,Food and Beverage,25000000,Series A,Sep-21
Calysta,United States,Food and Beverage,39000000,Series D,Sep-21
Biftek,United States,Food and Beverage,12500000,Seed,Sep-21
Sleeper,United States,Gaming,40000000,Series C,Sep-21
HomeCourt,United States,Gaming,25000000,Series B,Sep-21
Press Sports App,United States,Gaming,1500000,Seed,Sep-21
ProbablyMonsters,United States,Gaming,200000000,Series A,Sep-21
PredictionStrike,United States,Gaming,1700000,Seed,Sep-21
Elodie Games,United States,Gaming,32500000,Series A,Sep-21
Catalog,United States,Hardware,35000000,Series B,Sep-21
NOCD,United States,Health Care,33000000,Series B,Sep-21
Mammoth Biosciences,United States,Health Care,150000000,Series D,Sep-21
Emulate,United States,Health Care,82000000,Series E,Sep-21
Pager,United States,Health Care,70000000,Series C,Sep-21
Xealth,United States,Health Care,24000000,Series B,Sep-21
Solugen,United States,Health Care,350000000,Series C,Sep-21
Meru Health,United States,Health Care,30000000,Series B,Sep-21
Affinity,United States,Health Care,80000000,Series C,Sep-21
Height,United States,Human Resources,14000000,Series A,Sep-21
Syndio Solutions,United States,Human Resources,50000000,Series C,Sep-21
Insurify,United States,Insurance,100000000,Series B,Sep-21
Sureify,United States,Insurance,15000000,Series C,Sep-21
BriteCore,United States,Insurance,20000000,Series C,Sep-21
Homee,United States,Insurance,17000000,Series B,Sep-21
Prysm,United States,Investing,3000000,Seed,Sep-21
XMargin,United States,Investing,8000000,Series A,Sep-21
Stord,United States,Logistics,90000000,Series D,Sep-21
aPriori Technologies,United States,Manufacturing,30000000,Series D,Sep-21
RCRDSHP,United States,Marketplace,5000000,Seed,Sep-21
Pacaso,United States,Real Estate,125000000,Series C,Sep-21
Blueground,United States,Real Estate,140000000,Series C,Sep-21
Landed,United States,Real Estate,31000000,Series B,Sep-21
Measurabl,United States,Real Estate,50000000,Series C,Sep-21
DoorLoop,United States,Real Estate,10000000,Seed,Sep-21
Andela,United States,Recruiting,200000000,Series E,Sep-21
CodeSignal,United States,Recruiting,50000000,Series C,Sep-21
Checkr,United States,Recruiting,250000000,Series E,Sep-21
New Apprenticeship,United States,Recruiting,2500000,Seed,Sep-21
Gem,United States,Recruiting,100000000,Series C,Sep-21
Locus Robotics,United States,Robotics,50000000,Series E,Sep-21
Discord,United States,Social Network,500000000,Series H,Sep-21
Qwilt,United States,Telecommunications,70000000,Series E,Sep-21
SmarterTravel,United States,Travel,9500000,Series B,Sep-21
Headout,United States,Travel,12000000,Series B,Sep-21
